i - v;my
iti - v;your
ili - v;their
ip - iv;our
itip - iv;your
ilip - iv;their
kaka - ako;woman
koko - ako;man
akolopo - ako - s;people
amono - asono - atela;sky/heaven
anoka - etava;walk
avava - apoki;car
asike - atelo;lake
kaka - ako - s;women
koko - ako - s;men
pi - ekala;swam
pi - ekali;flew
pi - ekama;came
pi - ekipisi;cut
pi - eko;had
pi - ekote;heard
pi - elape;slept
pi - elasa;hunted
pi - eli;was
pi - eliki;thought
pi - elokin;saw
pi - emalo;loved
pi - emerta;sold
pi - emoki;ate
pi - emoli;died
pi - emosi;played
pi - epakala;broke
pi - epali;worked
pi - epana;gave
pi - epen;opened
pi - epilin;felt
pi - epini;ended
pi - esitele;drew
pi - esona;knew
pi - esoti;lived
pi - etala;fought
pi - etava;went
pi - etoki;spoke
pi - evaka;started
pi - evava;powered
pi - eveka;dropped
pi - even;kept
pi - evile;wanted
pi - evoki;did
ni - ekala;"will swim"
ni - ekali;"will fly"
ni - ekama;"will come"
ni - ekipisi;"will cut"
ni - eko;"will have"
ni - ekote;"will hear"
ni - elape;"will sleep"
ni - elasa;"will hunt"
ni - eli;"will be"
ni - eliki;"will think"
ni - elokin;"will see"
ni - emalo;"will love"
ni - emerta;"will to sell"
ni - emoki;"will eat"
ni - emoli;"will die"
ni - emosi;"will play"
ni - epakala;"will break"
ni - epali;"will work"
ni - epana;"will give"
ni - epen;"will open"
ni - epilin;"will feel"
ni - epini;"will end"
ni - esitele;"will draw"
ni - esona;"will know"
ni - esoti;"will live"
ni - etala;"will fight"
ni - etava;"will go"
ni - etoki;"will speak"
ni - evaka;"will start"
ni - evava;"will to power"
ni - eveka;"will drop"
ni - even;"will keep"
ni - evile;"will want"
ni - evoki;"will do"
alene - aselo - akata;sheep
osoli - asoveli - akata;horse
alene - aselo;fur
na - anena;plain
